Tanggal,Temperatur rata-rata (°C)
6/26/2019,29.1
6/27/2019,28.4
6/28/2019,29.1
6/29/2019,28.7
6/30/2019,28.8
7/1/2019,28.7
7/2/2019,28.7
7/3/2019,28.8
7/4/2019,29.0
7/5/2019,29.5
7/6/2019,29.3
7/7/2019,29.2
7/8/2019,29.0
7/9/2019,28.7
7/10/2019,27.9
7/11/2019,28.4
7/12/2019,29.4
7/13/2019,28.3
7/14/2019,28.2
7/15/2019,27.4
7/16/2019,28.1
7/17/2019,27.4
7/18/2019,28.1
7/19/2019,29.9
7/20/2019,29.8
7/21/2019,29.2
7/22/2019,29.3
7/23/2019,29.0
7/24/2019,29.3
7/25/2019,28.5
7/26/2019,28.2
7/27/2019,28.2
7/28/2019,28.7
7/29/2019,28.6
7/30/2019,28.5
7/31/2019,28.8
8/1/2019,28.1
8/2/2019,28.4
8/3/2019,28.3
8/4/2019,28.1
8/5/2019,28.0
8/6/2019,26.6
8/7/2019,27.8
8/8/2019,27.7
8/9/2019,27.5
8/10/2019,27.9
8/11/2019,27.9
8/12/2019,28.6
8/13/2019,29.0
8/14/2019,28.6
8/15/2019,28.6
8/16/2019,28.6
8/17/2019,28.9
8/18/2019,28.2
8/19/2019,27.5
8/20/2019,28.3
8/21/2019,29.4
8/22/2019,28.8
8/23/2019,28.3
8/24/2019,28.0
8/25/2019,28.0
8/26/2019,28.4
8/27/2019,28.6
8/28/2019,28.7
8/29/2019,28.9
8/30/2019,29.2
8/31/2019,27.7
9/1/2019,28.1
9/2/2019,28.3
9/3/2019,29.0
9/4/2019,28.8
9/5/2019,28.8
9/6/2019,28.0
9/7/2019,28.5
9/8/2019,28.9
9/9/2019,28.5
9/10/2019,29.8
9/11/2019,28.6
9/12/2019,28.4
9/13/2019,28.2
9/14/2019,27.0
9/15/2019,27.9
9/16/2019,28.9
9/17/2019,29.5
9/18/2019,28.4
9/19/2019,29.6
9/20/2019,28.9
9/21/2019,29.1
9/22/2019,28.5
9/23/2019,29.0
9/24/2019,29.7
9/25/2019,28.8
9/26/2019,29.9
9/27/2019,29.9
9/28/2019,29.4
9/29/2019,29.1
9/30/2019,29.6
10/1/2019,28.6
10/2/2019,29.3
10/3/2019,29.3
10/4/2019,29.8
10/5/2019,29.7
10/6/2019,29.6
10/7/2019,29.9
10/8/2019,29.3
10/9/2019,29.0
10/10/2019,28.8
10/11/2019,29.8
10/12/2019,29.4
10/13/2019,29.0
10/14/2019,29.3
10/15/2019,29.5
10/16/2019,29.4
10/17/2019,29.6
10/18/2019,29.4
10/19/2019,30.0
10/20/2019,29.5
10/21/2019,30.7
10/22/2019,30.3
10/23/2019,30.4
10/24/2019,29.9
10/25/2019,30.2
10/26/2019,29.5
10/27/2019,29.3
10/28/2019,29.3
10/29/2019,29.3
10/30/2019,29.2
10/31/2019,29.7
11/1/2019,28.3
11/2/2019,28.9
11/3/2019,29.1
11/4/2019,29.6
11/5/2019,29.7
11/6/2019,29.2
11/7/2019,28.7
11/8/2019,28.8
11/9/2019,29.8
11/10/2019,29.4
11/11/2019,30.1
11/12/2019,29.9
11/13/2019,30.1
11/14/2019,28.5
11/15/2019,29.9
11/16/2019,30.4
11/17/2019,30.3
11/18/2019,29.7
11/19/2019,29.7
11/20/2019,29.8
11/21/2019,28.8
11/22/2019,29.6
11/23/2019,29.8
11/24/2019,29.9
11/25/2019,29.4
11/26/2019,29.9
11/27/2019,30.1
11/28/2019,30.2
11/29/2019,29.7
11/30/2019,29.2
12/1/2019,29.9
12/2/2019,30.1
12/3/2019,30.0
12/4/2019,29.9
12/5/2019,29.1
12/6/2019,28.7
12/7/2019,27.8
12/8/2019,28.6
12/9/2019,29.4
12/10/2019,28.5
12/11/2019,28.1
12/12/2019,27.2
12/13/2019,28.6
12/14/2019,29.0
12/15/2019,29.4
12/16/2019,28.8
12/17/2019,26.9
12/18/2019,28.8
12/19/2019,28.7
12/20/2019,29.2
12/21/2019,29.3
12/22/2019,27.5
12/23/2019,28.2
12/24/2019,28.7
12/25/2019,26.3
12/26/2019,27.9
12/27/2019,27.3
12/28/2019,26.9
12/29/2019,27.5
12/30/2019,28.9
12/31/2019,27.6
1/1/2020,26.8
1/2/2020,27.6
1/3/2020,28.5
1/4/2020,28.3
1/5/2020,27.9
1/6/2020,27.0
1/7/2020,26.9
1/8/2020,28.2
1/9/2020,27.7
1/10/2020,25.9
1/11/2020,26.5
1/12/2020,27.9
1/13/2020,27.5
1/14/2020,28.5
1/15/2020,27.9
1/16/2020,28.2
1/17/2020,28.4
1/18/2020,27.5
1/19/2020,28.1
1/20/2020,28.4
1/21/2020,28.6
1/22/2020,29.0
1/23/2020,28.3
1/24/2020,26.8
1/25/2020,27.1
1/26/2020,28.2
1/27/2020,28.3
1/28/2020,29.0
1/29/2020,29.5
1/30/2020,27.4
1/31/2020,28.3
2/1/2020,26.1
2/2/2020,26.8
2/3/2020,27.0
2/4/2020,27.0
2/5/2020,27.8
2/6/2020,26.7
2/7/2020,26.6
2/8/2020,26.7
2/9/2020,26.4
2/10/2020,29.1
2/11/2020,29.9
2/12/2020,29.5
2/13/2020,28.6
2/14/2020,27.6
2/15/2020,28.3
2/16/2020,27.4
2/17/2020,27.5
2/18/2020,27.6
2/19/2020,27.5
2/20/2020,27.1
2/21/2020,28.0
2/22/2020,28.1
2/23/2020,28.3
2/24/2020,28.6
2/25/2020,27.1
2/26/2020,28.6
2/27/2020,29.1
2/28/2020,27.4
2/29/2020,27.3
3/1/2020,27.7
3/2/2020,28.7
3/3/2020,28.8
3/4/2020,28.5
3/5/2020,28.0
3/6/2020,28.8
3/7/2020,28.8
3/8/2020,28.6
3/9/2020,29.7
3/10/2020,30.1
3/11/2020,29.6
3/12/2020,27.6
3/13/2020,28.5
3/14/2020,29.4
3/15/2020,29.3
3/16/2020,28.9
3/17/2020,28.9
3/18/2020,27.6
3/19/2020,28.1
3/20/2020,27.4
3/21/2020,28.1
3/22/2020,27.2
3/23/2020,28.2
3/24/2020,28.8
3/25/2020,28.4
3/26/2020,28.8
3/27/2020,28.7
3/28/2020,29.0
3/29/2020,29.4
3/30/2020,27.7
3/31/2020,28.1
4/1/2020,28.1
4/2/2020,29.8
4/3/2020,29.3
4/4/2020,28.9
4/5/2020,28.5
4/6/2020,27.3
4/7/2020,28.6
4/8/2020,28.8
4/9/2020,28.9
4/10/2020,28.3
4/11/2020,29.4
4/12/2020,29.6
4/13/2020,27.7
4/14/2020,28.0
4/15/2020,28.1
4/16/2020,29.0
4/17/2020,29.7
4/18/2020,28.7
4/19/2020,29.6
4/20/2020,30.0
4/21/2020,30.0
4/22/2020,30.4
4/23/2020,30.8
4/24/2020,29.3
4/25/2020,29.1
4/26/2020,29.4
4/27/2020,27.7
4/28/2020,27.8
4/29/2020,28.3
4/30/2020,28.6
5/1/2020,28.8
5/2/2020,27.1
5/3/2020,29.3
5/4/2020,28.7
5/5/2020,29.6
5/6/2020,29.6
5/7/2020,30.2
5/8/2020,30.2
5/9/2020,28.4
5/10/2020,28.8
5/11/2020,29.3
5/12/2020,30.3
5/13/2020,29.9
5/14/2020,29.4
5/15/2020,30.0
5/16/2020,30.2
5/17/2020,29.9
5/18/2020,28.2
5/19/2020,28.7
5/20/2020,29.7
5/21/2020,28.9
5/22/2020,29.7
5/23/2020,29.6
5/24/2020,31.2
5/25/2020,30.4
5/26/2020,29.9
5/27/2020,29.5
5/28/2020,29.8
5/29/2020,29.6
5/30/2020,29.6
5/31/2020,29.4
6/1/2020,30.3
6/2/2020,29.6
6/3/2020,28.7
6/4/2020,29.5
6/5/2020,29.7
6/6/2020,28.9
6/7/2020,29.9
6/8/2020,29.5
6/9/2020,28.7
6/10/2020,29.4
6/11/2020,29.8
6/12/2020,29.7
6/13/2020,29.4
6/14/2020,30.3
6/15/2020,30.1
6/16/2020,30.0
6/17/2020,30.3
6/18/2020,29.9
6/19/2020,29.3
6/20/2020,29.3
6/21/2020,28.9
6/22/2020,28.8
6/23/2020,28.0
6/24/2020,28.7
6/25/2020,29.6
6/26/2020,28.9
6/27/2020,29.3
6/28/2020,29.5
6/29/2020,29.8
6/30/2020,29.7
7/1/2020,29.8
7/2/2020,27.3
7/3/2020,28.5
7/4/2020,29.1
7/5/2020,28.5
7/6/2020,29.0
7/7/2020,28.3
7/8/2020,29.0
7/9/2020,27.8
7/10/2020,27.7
7/11/2020,28.3
7/12/2020,28.8
7/13/2020,29.1
7/14/2020,29.4
7/15/2020,27.3
7/16/2020,28.4
7/17/2020,28.6
7/18/2020,28.8
7/19/2020,29.0
7/20/2020,29.2
7/21/2020,28.9
7/22/2020,29.4
7/23/2020,29.4
7/24/2020,29.2
7/25/2020,28.7
7/26/2020,28.4
7/27/2020,28.4
7/28/2020,28.4
7/29/2020,28.3
7/30/2020,28.2
7/31/2020,28.0
8/1/2020,27.7
8/2/2020,28.2
8/3/2020,29.5
8/4/2020,29.5
8/5/2020,28.5
8/6/2020,29.1
8/7/2020,28.8
8/8/2020,29.3
8/9/2020,28.6
8/10/2020,29.0
8/11/2020,29.2
8/12/2020,29.0
8/13/2020,27.1
8/14/2020,27.5
8/15/2020,28.5
8/16/2020,29.1
8/17/2020,29.4
8/18/2020,28.3
8/19/2020,29.0
8/20/2020,29.3
8/21/2020,29.0
8/22/2020,29.0
8/23/2020,29.5
8/24/2020,29.5
8/25/2020,29.0
8/26/2020,29.1
8/27/2020,29.0
8/28/2020,29.3
8/29/2020,29.9
8/30/2020,29.2
8/31/2020,29.3
9/1/2020,29.9
9/2/2020,29.1
9/3/2020,28.9
9/4/2020,30.2
9/5/2020,29.6
9/6/2020,29.0
9/7/2020,29.7
9/8/2020,30.0
9/9/2020,30.3
9/10/2020,29.5
9/11/2020,29.3
9/12/2020,29.2
9/13/2020,29.2
9/14/2020,28.9
9/15/2020,27.9
9/16/2020,28.9
9/17/2020,29.5
9/18/2020,28.4
9/19/2020,29.6
9/20/2020,28.9
9/21/2020,29.1
9/22/2020,28.5
9/23/2020,29.0
9/24/2020,29.7
9/25/2020,28.8
9/26/2020,29.9
9/27/2020,29.9
9/28/2020,29.4
9/29/2020,29.7
9/30/2020,30.3
10/1/2020,30.3
10/2/2020,29.4
10/3/2020,27.8
10/4/2020,28.4
10/5/2020,28.8
10/6/2020,28.8
10/7/2020,29.7
10/8/2020,29.3
10/9/2020,28.7
10/10/2020,28.8
10/11/2020,28.5
10/12/2020,29.7
10/13/2020,29.5
10/14/2020,29.8
10/15/2020,30.0
10/16/2020,28.4
10/17/2020,28.7
10/18/2020,28.8
10/19/2020,28.6
10/20/2020,28.6
10/21/2020,27.3
10/22/2020,28.8
10/23/2020,29.8
10/24/2020,29.2
10/25/2020,28.2
10/26/2020,27.4
10/27/2020,27.0
10/28/2020,28.3
10/29/2020,29.4
10/30/2020,29.1
10/31/2020,28.1
11/1/2020,27.7
11/2/2020,28.6
11/3/2020,28.8
11/4/2020,28.6
11/5/2020,27.3
11/6/2020,27.7
11/7/2020,28.9
11/8/2020,27.8
11/9/2020,29.1
11/10/2020,29.5
11/11/2020,29.9
11/12/2020,29.8
11/13/2020,30.4
11/14/2020,30.5
11/15/2020,30.7
11/16/2020,29.7
11/17/2020,29.3
11/18/2020,29.3
11/19/2020,30.2
11/20/2020,29.7
11/21/2020,29.2
11/22/2020,28.5
11/23/2020,28.0
11/24/2020,28.1
11/25/2020,28.3
11/26/2020,28.7
11/27/2020,29.4
11/28/2020,28.5
11/29/2020,28.4
11/30/2020,27.8
12/1/2020,29.4
12/2/2020,29.4
12/3/2020,26.9
12/4/2020,27.8
12/5/2020,27.5
12/6/2020,26.0
12/7/2020,26.1
12/8/2020,28.4
12/9/2020,28.9
12/10/2020,27.8
12/11/2020,28.1
12/12/2020,27.7
12/13/2020,27.0
12/14/2020,28.0
12/15/2020,27.7
12/16/2020,28.1
12/17/2020,27.5
12/18/2020,28.3
12/19/2020,28.2
12/20/2020,27.2
12/21/2020,27.4
12/22/2020,28.6
12/23/2020,29.6
12/24/2020,28.9
12/25/2020,29.3
12/26/2020,28.9
12/27/2020,29.4
12/28/2020,29.1
12/29/2020,28.3
12/30/2020,28.0
12/31/2020,26.5
1/1/2021,27.0
1/2/2021,27.6
1/3/2021,27.9
1/4/2021,28.8
1/5/2021,28.4
1/6/2021,27.2
1/7/2021,26.8
1/8/2021,27.1
1/9/2021,26.4
1/10/2021,27.1
1/11/2021,27.8
1/12/2021,27.3
1/13/2021,27.2
1/14/2021,27.4
1/15/2021,27.9
1/16/2021,29.2
1/17/2021,27.9
1/18/2021,26.8
1/19/2021,26.7
1/20/2021,27.3
1/21/2021,26.6
1/22/2021,27.0
1/23/2021,27.4
1/24/2021,25.1
1/25/2021,27.6
1/26/2021,27.4
1/27/2021,25.9
1/28/2021,25.7
1/29/2021,26.2
1/30/2021,26.6
1/31/2021,26.6
2/1/2021,27.1
2/2/2021,27.4
2/3/2021,26.5
2/4/2021,26.5
2/5/2021,27.0
2/6/2021,28.2
2/7/2021,27.8
2/8/2021,28.0
2/9/2021,27.2
2/10/2021,28.1
2/11/2021,27.6
2/12/2021,27.4
2/13/2021,27.9
2/14/2021,27.3
2/15/2021,27.4
2/16/2021,25.5
2/17/2021,26.0
2/18/2021,25.8
2/19/2021,26.6
2/20/2021,27.9
2/21/2021,27.2
2/22/2021,27.9
2/23/2021,27.9
2/24/2021,27.3
2/25/2021,27.3
2/26/2021,26.8
2/27/2021,28.1
2/28/2021,29.5
3/1/2021,29.3
3/2/2021,27.3
3/3/2021,27.7
3/4/2021,28.3
3/5/2021,27.4
3/6/2021,26.8
3/7/2021,27.1
3/8/2021,27.0
3/9/2021,27.3
3/10/2021,27.4
3/11/2021,26.0
3/12/2021,27.4
3/13/2021,28.7
3/14/2021,26.9
3/15/2021,27.6
3/16/2021,27.8
3/17/2021,28.1
3/18/2021,29.0
3/19/2021,28.9
3/20/2021,27.8
3/21/2021,28.4
3/22/2021,29.3
3/23/2021,29.1
3/24/2021,28.9
3/25/2021,28.8
3/26/2021,28.8
3/27/2021,28.3
3/28/2021,28.8
3/29/2021,28.3
3/30/2021,27.8
3/31/2021,28.5
4/1/2021,27.8
4/2/2021,29.0
4/3/2021,26.9
4/4/2021,27.7
4/5/2021,28.5
4/6/2021,29.0
4/7/2021,27.8
4/8/2021,29.1
4/9/2021,28.6
4/10/2021,27.6
4/11/2021,28.1
4/12/2021,28.7
4/13/2021,28.0
4/14/2021,28.0
4/15/2021,27.3
4/16/2021,28.3
4/17/2021,27.6
4/18/2021,28.6
4/19/2021,28.7
4/20/2021,29.1
4/21/2021,29.3
4/22/2021,29.3
4/23/2021,28.2
4/24/2021,28.5
4/25/2021,29.3
4/26/2021,30.2
4/27/2021,29.9
4/28/2021,28.8
4/29/2021,29.0
4/30/2021,28.6
5/1/2021,29.7
5/2/2021,29.8
5/3/2021,29.7
5/4/2021,29.5
5/5/2021,29.5
5/6/2021,27.6
5/7/2021,28.8
5/8/2021,29.2
5/9/2021,28.4
5/10/2021,29.7
5/11/2021,29.9
5/12/2021,30.1
5/13/2021,29.6
5/14/2021,29.8
5/15/2021,29.8
5/16/2021,30.1
5/17/2021,29.8
5/18/2021,27.3
5/19/2021,29.1
5/20/2021,29.6
5/21/2021,29.1
5/22/2021,28.9
5/23/2021,29.1
5/24/2021,29.5
5/25/2021,28.5
5/26/2021,29.1
5/27/2021,29.7
5/28/2021,29.8
5/29/2021,27.5
5/30/2021,28.5
5/31/2021,29.3
6/1/2021,28.8
6/2/2021,29.0
6/3/2021,28.9
6/4/2021,30.2
6/5/2021,29.3
6/6/2021,29.5
6/7/2021,28.1
6/8/2021,29.1
6/9/2021,29.1
6/10/2021,29.4
6/11/2021,28.7
6/12/2021,28.9
6/13/2021,29.5
6/14/2021,28.7
6/15/2021,28.1
6/16/2021,28.1
6/17/2021,27.8
6/18/2021,27.4
6/19/2021,26.0
6/20/2021,27.0
6/21/2021,26.5
6/22/2021,27.6
6/23/2021,27.8
6/24/2021,27.3
6/25/2021,28.5
6/26/2021,29.0
6/27/2021,28.9
6/28/2021,28.4
6/29/2021,28.5
6/30/2021,27.5
7/1/2021,26.3
7/2/2021,28.3
7/3/2021,29.0
7/4/2021,29.0
7/5/2021,28.6
7/6/2021,28.6
7/7/2021,28.5
7/8/2021,28.5
7/9/2021,29.3
7/10/2021,29.6
7/11/2021,29.0
7/12/2021,29.3
7/13/2021,27.5
7/14/2021,28.1
7/15/2021,28.3
7/16/2021,28.7
7/17/2021,29.2
7/18/2021,28.6
7/19/2021,29.0
7/20/2021,28.4
7/21/2021,28.7
7/22/2021,28.3
7/23/2021,27.1
7/24/2021,27.8
7/25/2021,27.7
7/26/2021,28.3
7/27/2021,28.4
7/28/2021,28.5
7/29/2021,28.6
7/30/2021,29.0
7/31/2021,29.0
8/1/2021,28.3
8/2/2021,28.6
8/3/2021,28.7
8/4/2021,29.1
8/5/2021,27.4
8/6/2021,28.3
8/7/2021,29.0
8/8/2021,29.3
8/9/2021,29.6
8/10/2021,27.1
8/11/2021,28.7
8/12/2021,29.1
8/13/2021,28.2
8/14/2021,29.1
8/15/2021,29.6
8/16/2021,29.4
8/17/2021,29.3
8/18/2021,28.8
8/19/2021,28.2
8/20/2021,28.6
8/21/2021,27.6
8/22/2021,28.8
8/23/2021,28.8
8/24/2021,29.1
8/25/2021,28.5
8/26/2021,28.9
8/27/2021,28.6
8/28/2021,29.8
8/29/2021,28.6
8/30/2021,28.7
8/31/2021,29.3
9/1/2021,29.4
9/2/2021,28.9
9/3/2021,29.0
9/4/2021,28.7
9/5/2021,29.6
9/6/2021,29.6
9/7/2021,28.8
9/8/2021,27.9
9/9/2021,27.8
9/10/2021,28.5
9/11/2021,29.1
9/12/2021,28.8
9/13/2021,29.3
9/14/2021,25.8
9/15/2021,28.0
9/16/2021,29.2
9/17/2021,29.7
9/18/2021,30.5
9/19/2021,28.6
9/20/2021,28.8
9/21/2021,28.8
9/22/2021,29.5
9/23/2021,29.7
9/24/2021,29.9
9/25/2021,29.9
9/26/2021,29.7
9/27/2021,29.1
9/28/2021,29.0
9/29/2021,29.4
9/30/2021,29.6
10/1/2021,29.1
10/2/2021,28.9
10/3/2021,29.1
10/4/2021,28.4
10/5/2021,29.0
10/6/2021,28.7
10/7/2021,29.3
10/8/2021,28.7
10/9/2021,29.6
10/10/2021,29.8
10/11/2021,29.3
10/12/2021,29.5
10/13/2021,30.1
10/14/2021,29.5
10/15/2021,30.2
10/16/2021,30.1
10/17/2021,30.4
10/18/2021,26.0
10/19/2021,27.7
10/20/2021,29.0
10/21/2021,28.5
10/22/2021,29.1
10/23/2021,29.3
10/24/2021,30.0
10/25/2021,29.0
10/26/2021,29.8
10/27/2021,28.7
10/28/2021,27.3
10/29/2021,28.6
10/30/2021,29.3
10/31/2021,28.9
11/1/2021,27.7
11/2/2021,28.6
11/3/2021,28.5
11/4/2021,29.0
11/5/2021,27.9
11/6/2021,29.4
11/7/2021,27.6
11/8/2021,28.3
11/9/2021,29.4
11/10/2021,28.6
11/11/2021,28.3
11/12/2021,28.5
11/13/2021,27.5
11/14/2021,29.4
11/15/2021,27.7
11/16/2021,29.8
11/17/2021,30.0
11/18/2021,29.8
11/19/2021,27.9
11/20/2021,27.9
11/21/2021,29.4
11/22/2021,29.3
11/23/2021,27.9
11/24/2021,29.3
11/25/2021,29.1
11/26/2021,28.2
11/27/2021,27.6
11/28/2021,28.1
11/29/2021,28.4
11/30/2021,28.9
12/1/2021,29.7
12/2/2021,31.0
12/3/2021,29.3
12/4/2021,27.4
12/5/2021,26.6
12/6/2021,27.5
12/7/2021,26.4
12/8/2021,28.5
12/9/2021,27.5
12/10/2021,28.4
12/11/2021,27.3
12/12/2021,28.9
12/13/2021,29.0
12/14/2021,28.6
12/15/2021,28.7
12/16/2021,28.3
12/17/2021,28.4
12/18/2021,28.5
12/19/2021,29.1
12/20/2021,27.9
12/21/2021,26.8
12/22/2021,28.2
12/23/2021,26.2
12/24/2021,28.0
12/25/2021,28.1
12/26/2021,27.3
12/27/2021,28.2
12/28/2021,28.2
12/29/2021,27.5
12/30/2021,28.0
12/31/2021,29.3
1/1/2022,28.9
1/2/2022,28.2
1/3/2022,29.2
1/4/2022,28.9
1/5/2022,29.4
1/6/2022,27.9
1/7/2022,29.3
1/8/2022,28.6
1/9/2022,29.1
1/10/2022,28.3
1/11/2022,26.9
1/12/2022,26.7
1/13/2022,27.2
1/14/2022,26.5
1/15/2022,26.7
1/16/2022,27.4
1/17/2022,28.1
1/18/2022,26.3
1/19/2022,27.3
1/20/2022,26.2
1/21/2022,27.6
1/22/2022,27.3
1/23/2022,29.3
1/24/2022,29.6
1/25/2022,28.8
1/26/2022,27.2
1/27/2022,28.1
1/28/2022,28.7
1/29/2022,27.9
1/30/2022,28
1/31/2022,28
2/1/2022,28.5
2/2/2022,28
2/3/2022,28.7
2/4/2022,26.9
2/5/2022,26
2/6/2022,27.9
2/7/2022,27.6
2/8/2022,26.5
2/9/2022,26.5
2/10/2022,27.4
2/11/2022,27.7
2/12/2022,27.8
2/13/2022,27.2
2/14/2022,26.5
2/15/2022,27.1
2/16/2022,28.4
2/17/2022,27.3
2/18/2022,27.4
2/19/2022,28
2/20/2022,27.9
2/21/2022,28.5
2/22/2022,29.3
2/23/2022,27.6
2/24/2022,28.6
2/25/2022,27.7
2/26/2022,27.9
2/27/2022,27.5
2/28/2022,28.1
3/1/2022,26.5
3/2/2022,27
3/3/2022,28.3
3/4/2022,28.1
3/5/2022,27.1
3/6/2022,27.9
3/7/2022,29.1
3/8/2022,27.8
3/9/2022,28.1
3/10/2022,28.5
3/11/2022,27.5
3/12/2022,27
3/13/2022,28
3/14/2022,28.7
3/15/2022,27.5
3/16/2022,28.7
3/17/2022,28.7
3/18/2022,29.2
3/19/2022,29.5
3/20/2022,30
3/21/2022,29.7
3/22/2022,29.1
3/23/2022,27.7
3/24/2022,28.3
3/25/2022,29.2
3/26/2022,26.6
3/27/2022,27.5
3/28/2022,28
3/29/2022,29.3
3/30/2022,29.1
3/31/2022,28.9
4/1/2022,28.5
4/2/2022,27.4
4/3/2022,26.7
4/4/2022,28.3
4/5/2022,27.6
4/6/2022,28.5
4/7/2022,28.9
4/8/2022,28
4/9/2022,28.5
4/10/2022,29.3
4/11/2022,28.2
4/12/2022,28.6
4/13/2022,28.8
4/14/2022,28.7
4/15/2022,29.9
4/16/2022,29.2
4/17/2022,29.7
4/18/2022,29.4
4/19/2022,28.6
4/20/2022,28.8
4/21/2022,27.4
4/22/2022,26.4
4/23/2022,28.5
4/24/2022,28.9
4/25/2022,29.5
4/26/2022,29.4
4/27/2022,29.1
4/28/2022,27.6
4/29/2022,29.3
4/30/2022,28.4
5/1/2022,29
5/2/2022,27.5
5/3/2022,28.2
5/4/2022,29
5/5/2022,29.5
5/6/2022,30.2
5/7/2022,29.9
5/8/2022,30.1
5/9/2022,29.9
5/10/2022,29.9
5/11/2022,28.9
5/12/2022,29.2
5/13/2022,29.3
5/14/2022,29.2
5/15/2022,29
5/16/2022,28.6
5/17/2022,29.5
5/18/2022,28.7
5/19/2022,28
5/20/2022,27.4
5/21/2022,27.9
5/22/2022,27.8
5/23/2022,29
5/24/2022,29.7
5/25/2022,28.3
5/26/2022,27.3
5/27/2022,28.2
5/28/2022,25.6
5/29/2022,26.8
5/30/2022,27.3
5/31/2022,27.4
6/1/2022,29
6/2/2022,28.4
6/3/2022,28.2
6/4/2022,28.8
6/5/2022,28.6
6/6/2022,27.6
6/7/2022,28.1
6/8/2022,27.3
6/9/2022,26.7
6/10/2022,28.1
6/11/2022,28.2
6/12/2022,27.8
6/13/2022,27.8
6/14/2022,28.7
6/15/2022,27.5
6/16/2022,26.7
6/17/2022,27.1
6/18/2022,27.3
6/19/2022,28
6/20/2022,28.9
6/21/2022,28.9
6/22/2022,28
6/23/2022,29.1
6/24/2022,28
6/25/2022,28.8
